  No.   E(hr.)        dos(hr.)         E(eV)          dos(eV)              sum
   2236  -0.63920      0.0000000000    -15.600293      0.0000000000      639.9999999999
   2246  -0.63820      0.0000000000    -15.573082      0.0000000000      639.9999999999
   2256  -0.63720      0.0000000000    -15.545871      0.0000000000      639.9999999999
   2266  -0.63620      0.0000000000    -15.518659      0.0000000000      639.9999999999
   2276  -0.63520      0.0000000000    -15.491448      0.0000000000      639.9999999999
   2286  -0.63420      0.0000000000    -15.464236      0.0000000000      639.9999999999
   2296  -0.63320      0.0000000000    -15.437025      0.0000000000      639.9999999999
   2306  -0.63220      0.0000000000    -15.409814      0.0000000000      639.9999999999
   2316  -0.63120      0.0000000000    -15.382602      0.0000000000      639.9999999999
   2326  -0.63020      0.0000000000    -15.355391      0.0000000000      639.9999999999
   2336  -0.62920      0.0000000000    -15.328179      0.0000000000      639.9999999999
   2346  -0.62820      0.0000000000    -15.300968      0.0000000000      639.9999999999
   2356  -0.62720      0.0000000000    -15.273757      0.0000000000      639.9999999999
   2366  -0.62620      0.0000000000    -15.246545      0.0000000000      639.9999999999
   2376  -0.62520      0.0000000000    -15.219334      0.0000000000      639.9999999999
   2386  -0.62420      0.0000000000    -15.192122      0.0000000000      639.9999999999
   2396  -0.62320      0.0000000000    -15.164911      0.0000000000      639.9999999999
   2406  -0.62220      0.0000000000    -15.137700      0.0000000000      639.9999999999
   2416  -0.62120      0.0000000000    -15.110488      0.0000000000      639.9999999999
   2426  -0.62020      0.0000000000    -15.083277      0.0000000000      639.9999999999
   2436  -0.61920      0.0000000000    -15.056065      0.0000000000      639.9999999999
   2446  -0.61820      0.0000000000    -15.028854      0.0000000000      639.9999999999
   2456  -0.61720      0.0000000000    -15.001643      0.0000000000      639.9999999999
   2466  -0.61620      0.0000000000    -14.974431      0.0000000000      639.9999999999
   2476  -0.61520      0.0000000000    -14.947220      0.0000000000      639.9999999999
   2486  -0.61420      0.0000000000    -14.920009      0.0000000000      639.9999999999
   2496  -0.61320      0.0000000000    -14.892797      0.0000000000      639.9999999999
   2506  -0.61220      0.0000000000    -14.865586      0.0000000000      639.9999999999
   2516  -0.61120      0.0000000000    -14.838374      0.0000000000      639.9999999999
   2526  -0.61020      0.0000000000    -14.811163      0.0000000000      639.9999999999
   2536  -0.60920      0.0000000000    -14.783952      0.0000000000      639.9999999999
   2546  -0.60820      0.0000000000    -14.756740      0.0000000000      639.9999999999
   2556  -0.60720      0.0000000000    -14.729529      0.0000000000      639.9999999999
   2566  -0.60620      0.0000000000    -14.702317      0.0000000000      639.9999999999
   2576  -0.60520      0.0000000000    -14.675106      0.0000000000      639.9999999999
   2586  -0.60420      0.0000000000    -14.647895      0.0000000000      639.9999999999
   2596  -0.60320      0.0000000000    -14.620683      0.0000000000      639.9999999999
   2606  -0.60220      0.0000000000    -14.593472      0.0000000000      639.9999999999
   2616  -0.60120      0.0000000000    -14.566260      0.0000000000      639.9999999999
   2626  -0.60020      0.0000000000    -14.539049      0.0000000000      639.9999999999
   2636  -0.59920      0.0000000000    -14.511838      0.0000000000      639.9999999999
   2646  -0.59820      0.0000000000    -14.484626      0.0000000000      639.9999999999
   2656  -0.59720      0.0000000000    -14.457415      0.0000000000      639.9999999999
   2666  -0.59620      0.0000000000    -14.430203      0.0000000000      639.9999999999
   2676  -0.59520      0.0000000000    -14.402992      0.0000000000      639.9999999999
