 ===== energy eigen values =====
 ik =    1 (  0.250000  0.250000  0.250000 )
     -0.85693794     -0.85693620     -0.85692946     -0.85652739     -0.85652503
     -0.85634427     -0.85629124     -0.85628908     -0.85609065     -0.85604782
     -0.85604516     -0.85578329     -0.85568792     -0.85568090     -0.85565240
     -0.85557150     -0.85557005     -0.85552543     -0.85545607     -0.85544386
     -0.85544307     -0.85533030     -0.85528897     -0.85528665     -0.85526967
     -0.85523333     -0.85523192     -0.85511957     -0.85506524     -0.85506239
     -0.85503279     -0.85503109     -0.85500612     -0.85496936     -0.85496833
     -0.85490632     -0.85488376     -0.85488249     -0.85476233     -0.85476129
     -0.85470941     -0.85467434     -0.85460478     -0.85460333     -0.85433515
     -0.85420643     -0.85420553     -0.85418861     -0.85408905     -0.85407818
     -0.85407726     -0.85391926     -0.85391916     -0.85391726     -0.85367019
     -0.85366978     -0.85358238     -0.85358148     -0.85357870     -0.85345122
     -0.85345079     -0.85344455     -0.85328665     -0.85305209     -0.85305124
     -0.85301386     -0.85274139     -0.85260685     -0.85260594     -0.85252274
     -0.85252121     -0.85245955     -0.85227269     -0.85227177     -0.85226956
     -0.85196479     -0.85196405     -0.85176753     -0.85172322     -0.85172283
     -0.85158438     -0.85153152     -0.85152781     -0.85152692     -0.85142390
     -0.85142180     -0.85118613     -0.85116724     -0.85116701     -0.85097687
     -0.85088621     -0.85088526     -0.85076983     -0.85076863     -0.85057062
     -0.85053091     -0.85053069     -0.85045981     -0.85039854     -0.85039711
     -0.85036045     -0.85025525     -0.85025466     -0.85009351     -0.85007899
     -0.85007846     -0.84996441     -0.84995542     -0.84995475     -0.84975163
     -0.84966038     -0.84965974     -0.84963577     -0.84947381     -0.84941930
     -0.84941895     -0.84937370     -0.84934542     -0.84934509     -0.84923017
     -0.84922998     -0.84909085     -0.84909061     -0.84901093     -0.84900911
     -0.84895823     -0.84895698     -0.84889757     -0.84877295     -0.84877222
     -0.84871559     -0.84871467     -0.84860235     -0.84852961     -0.84851401
     -0.84851346     -0.84845906     -0.84833923     -0.84833836     -0.84822373
     -0.84819941     -0.84819826     -0.84816488     -0.84804456     -0.84804382
     -0.84798140     -0.84794316     -0.84794259     -0.84780823     -0.84766383
     -0.84766300     -0.84754515     -0.84754479     -0.84746246     -0.84740241
     -0.84733673     -0.84733401     -0.84723731     -0.84723583     -0.84723482
     -0.84712602     -0.84697631     -0.84697568     -0.84696385     -0.84686995
     -0.84681638     -0.84681561     -0.84664205     -0.84662959     -0.84662921
     -0.84649657     -0.84649541     -0.84644010     -0.84628962     -0.84628613
     -0.84623366     -0.84612274     -0.84612171     -0.84608040     -0.84607982
     -0.84602785     -0.84599440     -0.84589651     -0.84589651     -0.84579469
     -0.84579427     -0.84575430     -0.84563100     -0.84560445     -0.84560377
     -0.84549120     -0.84541080     -0.84536009     -0.84535974     -0.84527952
     -0.84527927     -0.84512403     -0.84510641     -0.84510614     -0.84504559
     -0.84502999     -0.84501341     -0.84501296     -0.84486278     -0.84486209
     -0.84477092     -0.84474971     -0.84468927     -0.84468791     -0.84454400
     -0.84454292     -0.84449481     -0.84449401     -0.84446813     -0.84445012
     -0.84431501     -0.84430993     -0.84423639     -0.84420644     -0.84420198
     -0.84410994     -0.84410750     -0.84399406     -0.84398937     -0.84398529
     -0.84388970     -0.84381564     -0.84381511     -0.84375775     -0.84374505
     -0.84374317     -0.84364088     -0.84351515     -0.84344694     -0.84344632
     -0.84329962     -0.84329858     -0.84325406     -0.84302668     -0.84302624
     -0.84293521     -0.84280855     -0.84280783     -0.84276680     -0.84276647
     -0.84265931     -0.84265849     -0.84247951     -0.84247925     -0.84246102
     -0.84212387     -0.84212297     -0.84207449     -0.84184986     -0.84184795
     -0.84180750     -0.84177072     -0.84172807     -0.84171657     -0.84161842
     -0.84160954     -0.84160318     -0.84148237     -0.84148171     -0.84126246
     -0.84126205     -0.84124077     -0.84111224     -0.84105518     -0.84105452
     -0.84102681     -0.84102608     -0.84102397     -0.84083834     -0.84067439
     -0.84067398     -0.84059956     -0.84055604     -0.84053075     -0.84053022
     -0.84048205     -0.84048165     -0.84045867     -0.84040739     -0.84040680
     -0.84039170     -0.84031709     -0.84031323     -0.84031283     -0.84025537
     -0.84025445     -0.84020267     -0.84020227     -0.84014080     -0.84014001
     -0.84008511     -0.84005853     -0.83998625     -0.83997148     -0.83997091
     -0.83981198     -0.83981168     -0.83966904     -0.83964200     -0.83956612
     -0.83956478     -0.83941711     -0.83882811     -0.83882094     -0.83881998
     -0.83864017     -0.83863970     -0.83860606     -0.83858975     -0.83858921
     -0.42641163     -0.41379630     -0.41378982     -0.41175307     -0.40167917
     -0.40167294     -0.39902245     -0.39077807     -0.38799740     -0.38799024
     -0.38609285     -0.37890447     -0.37885856     -0.37885355     -0.37842435
     -0.37841644     -0.37777406     -0.37532928     -0.37532218     -0.36816499
     -0.36311200     -0.36310538     -0.35691388     -0.35121413     -0.35120599
     -0.35117946     -0.34909491     -0.34902581     -0.34902011     -0.34750922
     -0.34750672     -0.32546978     -0.30607804     -0.30607288     -0.30603193
     -0.30580468     -0.30571332     -0.30570901     -0.30277329     -0.30276769
     -0.29362852     -0.29129382     -0.29129055     -0.28467199     -0.28162504
     -0.28161263     -0.27725901     -0.27085617     -0.27083394     -0.27082849
     -0.26835926     -0.26834963     -0.26052556     -0.25529965     -0.25262551
     -0.25262169     -0.23625916     -0.23243432     -0.23242592     -0.20681213
     -0.19897890     -0.19897088     -0.16945141     -0.16878691     -0.16878424
     -0.16789751     -0.16760116     -0.16759550     -0.16590491     -0.16526310
     -0.16525851     -0.15776932     -0.15418445     -0.15397400     -0.15397146
     -0.15369681     -0.15369357     -0.15335665     -0.15130109     -0.15022804
     -0.15022389     -0.14147861     -0.14129196     -0.14128754     -0.14020564
     -0.14020144     -0.13947693     -0.13812042     -0.13648496     -0.13644168
     -0.13643953     -0.13448230     -0.13448048     -0.13224472     -0.13209290
     -0.13208959     -0.12765841     -0.12765407     -0.12438440     -0.12419234
     -0.12165997     -0.12165459     -0.11659000     -0.11631502     -0.11631288
     -0.11628262     -0.11598245     -0.11598035     -0.11235329     -0.11234897
     -0.10837600     -0.10790268     -0.10415269     -0.10415091     -0.10087097
     -0.10086785     -0.09825212     -0.09640158     -0.09639293     -0.08994292
     -0.08993689     -0.08986199     -0.08580820     -0.07505238     -0.07453213
     -0.07452494     -0.06217177     -0.05454947     -0.05453979     -0.04601859
     -0.03081714     -0.03081356     -0.02785474     -0.02753759     -0.02753394
     -0.02556046     -0.02502053     -0.02501288     -0.02160667     -0.01682274
     -0.01680758     -0.01674476     -0.01448958     -0.01447938     -0.01233809
     -0.00940299     -0.00936254     -0.00063465     -0.00002359      0.00003774
      0.00029408      0.00052497      0.00075074      0.00109174      0.00341665
      0.00425944      0.00462827      0.00637822      0.00664628      0.00708922
      0.00950149      0.01047131      0.01158090      0.01277469
 ===== energy eigen values =====
