 --- primitive lattice vectors ---
    60  -0.0044764220 -0.1005472290  0.0761500308
    61  -0.0044436179 -0.1002176407  0.0761341357
    62  -0.0044452637 -0.1002528907  0.0762256525
    63  -0.0044906555 -0.1005124921  0.0761203883
 n=     6 A   IR&R
     hbarW= -0.50707641E-06 Ha = -0.13798251E-04 eV; nu= -0.11129041E+00 cm^-1
     1   0.0297929202 -0.0749295843 -0.0971016811
     2   0.0296391270 -0.0748741449 -0.0969302384
     3   0.0297490300 -0.0748461747 -0.0969062912
     4   0.0297859612 -0.0748753783 -0.0969627261
     5   0.0297651717 -0.0748133157 -0.0969049907
     6   0.0296689458 -0.0748287906 -0.0969017163
     7   0.0297456412 -0.0748175748 -0.0968270347
     8   0.0297083117 -0.0748220111 -0.0968747910
     9   0.0299077316 -0.0749238657 -0.0968555925
    10   0.0297405187 -0.0748511533 -0.0968638166
    11   0.0297888782 -0.0748071540 -0.0968437566
    12   0.0298108695 -0.0749117818 -0.0969392301
    13   0.0298138141 -0.0749041228 -0.0969281496
    14   0.0297858634 -0.0748257128 -0.0968489654
    15   0.0297810737 -0.0748239663 -0.0968554558
    16   0.0298564447 -0.0748281794 -0.0969154155
    17   0.0298810050 -0.0747972086 -0.0969573533
    18   0.0298276021 -0.0748160364 -0.0969072392
    19   0.0298934969 -0.0748079703 -0.0968438695
    20   0.0297950036 -0.0748685911 -0.0969886974
    21   0.0297728939 -0.0748584852 -0.0969404361
    22   0.0297746138 -0.0747910430 -0.0969648528
    23   0.0298760586 -0.0747586524 -0.0969698120
    24   0.0298129559 -0.0749123749 -0.0968413958
    25   0.0297556378 -0.0749746376 -0.0969576855
    26   0.0299320672 -0.0748957143 -0.0970436459
    27   0.0298824638 -0.0748871570 -0.0969308176
    28   0.0299923726 -0.0748107049 -0.0967609530
    29   0.0298025371 -0.0748456485 -0.0968692130
    30   0.0299008467 -0.0749387525 -0.0969295545
    31   0.0298773580 -0.0748939525 -0.0969169941
    32   0.0298988441 -0.0748427917 -0.0968994819
    33   0.0297715092 -0.0748647583 -0.0969950598
    34   0.0296195577 -0.0748664839 -0.0969471182
    35   0.0296910275 -0.0747953639 -0.0969016446
    36   0.0298963831 -0.0749067313 -0.0969805177
    37   0.0298729116 -0.0747678739 -0.0968662165
    38   0.0298364537 -0.0747121551 -0.0967860520
    39   0.0298839872 -0.0747432879 -0.0968470101
    40   0.0298693514 -0.0746754280 -0.0968467325
    41   0.0298875316 -0.0748261326 -0.0969425922
    42   0.0298549827 -0.0747326233 -0.0968281854
    43   0.0296815110 -0.0748554764 -0.0968701438
    44   0.0299943827 -0.0748776589 -0.0968869283
    45   0.0298090006 -0.0745963198 -0.0968528394
    46   0.0297241373 -0.0747463420 -0.0967030885
    47   0.0298574456 -0.0748100661 -0.0965932291
    48   0.0297536549 -0.0746799297 -0.0967591441
    49   0.0298076215 -0.0748604498 -0.0969324620
    50   0.0298646232 -0.0747910670 -0.0968460634
    51   0.0297327936 -0.0748500158 -0.0969495668
    52   0.0299634251 -0.0747775463 -0.0969263887
    53   0.0297767026 -0.0744825319 -0.0968302159
    54   0.0297426040 -0.0746837108 -0.0968194388
    55   0.0298091533 -0.0747408868 -0.0967933963
    56   0.0297673757 -0.0745819606 -0.0967323244
    57   0.0297569336 -0.0748646876 -0.0970399716
    58   0.0301384727 -0.0747367095 -0.0968723316
    59   0.0299001118 -0.0749501515 -0.0968497120
    60   0.0298206266 -0.0747969070 -0.0968274322
    61   0.0299876698 -0.0746836858 -0.0968970111
    62   0.0299425524 -0.0748191581 -0.0967614290
    63   0.0298832299 -0.0748179306 -0.0967896264
 n=     7 A   IR&R
     hbarW=  0.22359603E-03 Ha =  0.60843574E-02 eV; nu=  0.49073657E+02 cm^-1
     1  -0.0297724549 -0.0045970916 -0.0460915422
     2   0.0195135297  0.0066513003  0.0112113265
     3  -0.0331011579 -0.0774689734  0.0367414942
     4  -0.0045443609 -0.0331185789  0.0232370490
     5  -0.0510745361 -0.0227362054 -0.0058574433
     6   0.0487991035 -0.1121700658  0.0800581325
     7   0.0159130265 -0.0492317485 -0.0193873093
     8  -0.0407639650 -0.0697583055  0.0605787592
     9   0.1141084856  0.0171437788  0.2856468212
    10  -0.1004115278 -0.0517392739 -0.1472303722
    11  -0.0146009860  0.0892566387  0.0526780836
    12  -0.0423486995 -0.0297031940 -0.0738573922
    13   0.1186888420 -0.0087575919  0.1098763021
    14  -0.1110670518  0.0232213438 -0.1078537775
    15  -0.0453575007  0.0118832159 -0.0371411637
    16  -0.0104789171 -0.0002720240 -0.0218666555
    17   0.1053573098  0.0265799780  0.1680701392
    18  -0.0520917993 -0.0780965486 -0.0727479052
    19   0.0138225989  0.0793596221  0.0661264659
    20  -0.0002360372 -0.0578728466 -0.0888956400
    21   0.0291274680 -0.0152130043 -0.0082463820
    22  -0.0233274686  0.0053555515 -0.0382620429
    23   0.0438273751  0.0432910052 -0.0108680332
    24  -0.0241555271 -0.0371589646 -0.0307288871
    25  -0.1344067122 -0.0101827619 -0.1172830778
    26   0.1697768103  0.0693366094  0.1379191014
    27  -0.0004929916 -0.0700959424  0.0454277314
    28   0.0036877029  0.0061010317  0.0063957920
    29  -0.0963928010 -0.0021024471 -0.1004493731
    30   0.1359849362 -0.0847888784  0.1738112884
    31  -0.0161700874 -0.0588673593 -0.0165688451
